Address,City,State,ZIP,Restaurant Name,Latitude,Longitude
420 College St,Lacey,WA,98503,Shari's,47.0482765001513,-122.82362850169173
420 College St,Lacey,WA,98503,Denny's,47.048367550151276,-122.82198144999998
420 College St,Lacey,WA,98503,Red Lobster,47.048109600151335,-122.82511794568418
420 College St,Lacey,WA,98503,Pho Tai,47.03919950015319,-122.82378300000002
420 College St,Lacey,WA,98503,Brewery City Pizza,47.04789540015139,-122.82711529999997
17801 Pacific Hwy S,Seattle,WA,98188,Spencer's,47.44420310006612,-122.294919
17801 Pacific Hwy S,Seattle,WA,98188,13 Coins,47.44127340006677,-122.29537610000001
17801 Pacific Hwy S,Seattle,WA,98188,Convenience Store,47.442204700066554,-122.30052060000001
17801 Pacific Hwy S,Seattle,WA,98188,Sam Choy’s Poke to the Max,47.44603280006571,-122.30002833464435
17801 Pacific Hwy S,Seattle,WA,98188,Floret,47.44262375006646,-122.30221111582672
1411 E Mission Ave,Spokane,WA,99252,Illinois Ave Bar & Grill,47.67821185001314,-117.3895853599233
1411 E Mission Ave,Spokane,WA,99252,Chapala,47.67396965001411,-117.39686024999997
1411 E Mission Ave,Spokane,WA,99252,Zeeks Pizza,47.67110905001478,-117.3962957
1411 E Mission Ave,Spokane,WA,99252,Birrieria Tijuana,47.67641335001355,-117.39620416432524
1411 E Mission Ave,Spokane,WA,99252,Our Thai House,47.67087260001483,-117.39676979999999
130 S Post St,Spokane,WA,99201,Churchills Steakhouse,47.655193300018425,-117.42327979999999
130 S Post St,Spokane,WA,99201,Steam Plant,47.65522580001841,-117.42428180000002
130 S Post St,Spokane,WA,99201,Neato Burrito,47.65642540001815,-117.4245325
130 S Post St,Spokane,WA,99201,Domini's,47.657013500018,-117.4224981
130 S Post St,Spokane,WA,99201,Zona Blanca,47.65535780001839,-117.42085439999998
450 110th Ave NE,Bellevue,WA,98004,El Gaucho,47.61472990002768,-122.19436770000002
450 110th Ave NE,Bellevue,WA,98004,The Dolar Shop,47.61576640002745,-122.19332210000002
450 110th Ave NE,Bellevue,WA,98004,Nibbana Thai Restaurant,47.61313950002806,-122.1933202
450 110th Ave NE,Bellevue,WA,98004,Amuse,47.61289000002811,-122.19327510000001
450 110th Ave NE,Bellevue,WA,98004,Café Pogacha,47.613361000027986,-122.195179
